,,,,,,,,,,
,AMaTS INSTRUMENTS,,,,,,,,,
,Instrument,Instrument Code,Bardcode,Serial Number,Status,Status Notes,Location,Location Notes,Issued to,Last Touch
,Accelerometer,AM-01,*AM-01*,1993,For Repair,,AMTEC UPLB,,JJTM,
,Accelerometer,AM-02,*AM-02*,1997,For Repair,,AMTEC UPLB,,JJTM,
,Accelerometer,AM-03,*AM-03*,1996,For Repair,,AMTEC UPLB,,JJTM,
,Accelerometer Power Supply,AMPS-01,*AMPS-01*,962,Functioning,,AMTEC UPLB,,JJTM,
,Accelerometer Power Supply,AMPS-02,*AMPS-02*,956,Functioning,,AMTEC UPLB,,JJTM,
,Accelerometer Power Supply,AMPS-03,*AMPS-03*,,Functioning,,AMTEC UPLB,,JJTM,
,Bushing,B-01,*B-01*,,Functioning,,AMTEC UPLB,,MJBR,
,Bushing,B-02,*B-02*,,Functioning,,AMTEC UPLB,,MJBR,
,Barometer,BM-01,*BM-01*,881020,For Repair,,AMTEC UPLB,,MJBR,
,Barometer,BM-02,*BM-02*,881025,Functioning,,AMTEC UPLB,,MJBR,
,Barometer,BM-03,*BM-03*,881028,Functioning,,AMTEC UPLB,,MJBR,
,Caliper,,,,Functioning,,AMTEC UPLB,,JJTM,
,Camera,CAM-03A,*CAM-03A*,6131630118,Functioning,,AMTEC UPLB,,JJTM,
,Coupling,RC-01,*RC-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Coupling,RC-02,*RC-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Coupling,RC-03,*RC-03*,,Functioning,,AMTEC UPLB,,MECH LAB,
,DAQ,DAQ-01,*DAQ-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-01,*DI-01*,DE19102404,Functioning,,AMTEC UPLB,,MECH LAB,
,Digital Indicator,DI-02,*DI-02*,DA19092402,Functioning,,AMTEC UPLB,,MECH LAB,
,Digital Indicator,DI-03,*DI-03*,DA19092401,Functioning,,AMTEC UPLB,,MECH LAB,
,Digital Indicator,DI-03,*DI-03*,2308050368,Functioning,,AMTEC UPLB,,MECH LAB,
,Digital Indicator,DI-04,*DI-04*,,For Repair,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-05,*DI-05*,AJ22122801,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-06,*DI-06*,AJ22122802,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-07,*DI-07*,AJ22122803,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-08,*DI-08*,AJ22122804,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-09,*DI-09*,AJ22122805,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-10,*DI-10*,AJ22122806,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-11,*DI-11*,AJ22122807,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-12,*DI-12*,AJ22122808,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-13,*DI-13*,AJ22122809,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-14,*DI-14*,AJ22122810,Functioning,,AMTEC UPLB,,OFFICE,
,Digital Indicator,DI-15,*DI-15*,F9698267,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-16,*DI-16*,FZ698559,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-17,*DI-17*,FZ698560,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-18,*DI-18*,FZ698561,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-19,*DI-19*,FZ698562,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-20,*DI-20*,G30698809,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-21,*DI-21*,G3698810,Functioning,,AMTEC UPLB,,JJTM,
,Digital Indicator,DI-22,*DI-22*,300334,Functioning,,AMTEC Visayas,,FCP,
,Digital Indicator,DI-23,*DI-23*,DG19091615,Functioning,,AMTEC Visayas,,FCP,
,Dynamometer,DM-01,*DM-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-02,*DM-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-03,*DM-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-04,*DM-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-05,*DM-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-06,*DM-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-07,*DM-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-08,*DM-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Dynamometer,DM-09,*DM-09*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,FM-01,*FM-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Flow meter,FM-02,*FM-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Flow meter,FM-03,*FM-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,FM-04,*FM-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,FM-05,*FM-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,FM-06,*FM-06*,69510068141,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,FM-07,*FM-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Flow meter,GM-07,*GM-07*,OG15374,Functioning,,AMTEC UPLB,,JJTM,
,Hygrometer,THM-04,*THM-04*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Hygrometer,THM-07,*THM-07*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-01,*LC-01*,D2205001,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-02,*LC-02*,D2205002,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-03,*LC-03*,D2205006,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-04,*LC-04*,D2205007,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-05,*LC-05*,D2205008,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-06,*LC-06*,D2205009,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-07,*LC-07*,D2205010,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-08,*LC-08*,D2206016,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-09,*LC-09*,D2206018,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-10,*LC-10*,D2203011,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-11,*LC-11*,D2203015,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-12,*LC-12*,D2205036,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-13,*LC-13*,D2205037,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-14,*LC-14*,D2205038,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-15,*LC-15*,D2205041,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-16,*LC-16*,D2205045,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-17,*LC-17*,D2205049,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-18,*LC-18*,D2207059,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-19,*LC-19*,D1308169,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-20,*LC-20*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-21,*LC-21*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Load Cell,LC-22,*LC-22*,201613966,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-23,*LC-23*,201613974,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-24,*LC-24*,201613964,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-25,*LC-25*,201613963,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-26,*LC-26*,201613965,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-27,*LC-27*,201608843,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-28,*LC-28*,201707515,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell Junction Box,LCJB-01,*LCJB-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Magnetic Detector,MD-01,*MD-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Magnetic Detector,MD-02,*MD-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Microcomputer,MCM-01,*MCM-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcomputer,MCM-02,*MCM-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcomputer,MCM-03,*MCM-03*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-01,*MC-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-02,*MC-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-03,*MC-03*,,Functioning,,AMTEC UPLB,,JJTM,
,Multimeter,MM-02,*MM-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Optical Detector,OD-01,*OD-01*,,For Repair,,AMTEC UPLB,,MECH LAB,
,Platform Scale,PS-01,*PS-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Platform Scale,PS-02,*PS-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Power Meter,PM-01,*PM-01*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-01,*PG-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-02,*PG-02*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-03,*PG-03*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-04,*PG-04*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-05,*PG-05*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-06,*PG-06*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-07,*PG-07*,,Functioning,,AMTEC UPLB,,MJBR,
